"ServiceName","DisplayName","StartName","StartMode","State","PathName","ExePathRaw","ArgsRaw","ParseMethod","Confidence","IsQuoted","IsMalformed","HasSpaces","FindingCount","FindingsSummary","FindingsJson","RiskScore","RiskLevel"
"ShellHWDetection","Shell Hardware Detection","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"smphost","Microsoft Storage Spaces SMP","NT AUTHORITY\NetworkService","Manual","Stopped","C:\Windows\System32\svchost.exe -k smphost","C:\Windows\System32\svchost.exe","-k smphost","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SmsRouter","Microsoft Windows SMS Router Service.","NT Authority\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SNMPTRAP","SNMP Trap","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\System32\snmptrap.exe","C:\Windows\System32\snmptrap.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"spectrum","Windows Perception Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\spectrum.exe","C:\Windows\system32\spectrum.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Spooler","Print Spooler","LocalSystem","Auto","Running","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\spoolsv.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"sppsvc","Software Protection","NT AUTHORITY\NetworkService","Auto","Stopped","C:\Windows\system32\sppsvc.exe","C:\Windows\system32\sppsvc.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SSDPSRV","SSDP Discovery","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","-k LocalServiceAndNoImpersonation -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SstpSvc","Secure Socket Tunneling Protocol Service","NT Authority\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"StateRepository","State Repository Service","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","-k appmodel -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"stisvc","Windows Image Acquisition (WIA)","NT Authority\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k imgsvc","C:\Windows\system32\svchost.exe","-k imgsvc","UnquotedExt","High","False","False","False","0","","[]","0","None"
"StorSvc","Storage Service","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"svsvc","Spot Verifier","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"swprv","Microsoft Software Shadow Copy Provider","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k swprv","C:\Windows\System32\svchost.exe","-k swprv","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SysMain","SysMain","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"SystemEventsBroker","System Events Broker","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","-k DcomLaunch -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","LocalSystem","Manual","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TapiSrv","Telephony","NT AUTHORITY\NetworkService","Manual","Stopped","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","-k NetworkService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TermService","Remote Desktop Services","NT Authority\NetworkService","Manual","Stopped","C:\Windows\System32\svchost.exe -k NetworkService","C:\Windows\System32\svchost.exe","-k NetworkService","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Themes","Themes","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TieringEngineService","Storage Tiers Management","localSystem","Manual","Stopped","C:\Windows\system32\TieringEngineService.exe","C:\Windows\system32\TieringEngineService.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TimeBrokerSvc","Time Broker","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TokenBroker","Web Account Manager","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TrkWks","Distributed Link Tracking Client","LocalSystem","Auto","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TroubleshootingSvc","Recommended Troubleshooting Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"TrustedInstaller","Windows Modules Installer","localSystem","Manual","Stopped","C:\Windows\servicing\TrustedInstaller.exe","C:\Windows\servicing\TrustedInstaller.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","localSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"upnphost","UPnP Device Host","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","-k LocalServiceAndNoImpersonation -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"UserManager","User Manager","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"UsoSvc","Update Orchestrator Service","LocalSystem","Auto","Running","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"VacSvc","Volumetric Audio Compositor Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"VaultSvc","Credential Manager","LocalSystem","Manual","Running","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"VBoxService","VirtualBox Guest Additions Service","LocalSystem","Auto","Running","C:\Windows\System32\VBoxService.exe","C:\Windows\System32\VBoxService.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vds","Virtual Disk","LocalSystem","Manual","Stopped","C:\Windows\System32\vds.exe","C:\Windows\System32\vds.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicguestinterface","Hyper-V Guest Service Interface","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicheartbeat","Hyper-V Heartbeat Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k ICService -p","C:\Windows\system32\svchost.exe","-k ICService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmickvpexchange","Hyper-V Data Exchange Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k ICService -p","C:\Windows\system32\svchost.exe","-k ICService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicshutdown","Hyper-V Guest Shutdown Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmictimesync","Hyper-V Time Synchronization Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicvmsession","Hyper-V PowerShell Direct Service","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","LocalSystem","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"VSS","Volume Shadow Copy","LocalSystem","Manual","Stopped","C:\Windows\system32\vssvc.exe","C:\Windows\system32\vssvc.exe","","UnquotedExt","High","False","False","False","0","","[]","0","None"
"W32Time","Windows Time","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService","C:\Windows\system32\svchost.exe","-k LocalService","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WaaSMedicSvc","Windows Update Medic Service","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k wusvcs -p","C:\Windows\system32\svchost.exe","-k wusvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WalletService","WalletService","LocalSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k appmodel -p","C:\Windows\System32\svchost.exe","-k appmodel -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WarpJITSvc","WarpJITSvc","NT Authority\LocalService","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","C:\Windows\System32\svchost.exe","-k LocalServiceNetworkRestricted","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wbengine","Block Level Backup Engine Service","localSystem","Manual","Stopped","""C:\Windows\system32\wbengine.exe""","C:\Windows\system32\wbengine.exe","","Quoted","High","True","False","False","0","","[]","0","None"
"WbioSrvc","Windows Biometric Service","LocalSystem","Manual","Running","C:\Windows\system32\svchost.exe -k WbioSvcGroup","C:\Windows\system32\svchost.exe","-k WbioSvcGroup","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Wcmsvc","Windows Connection Manager","NT Authority\LocalService","Auto","Running","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","-k LocalServiceNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wcncsvc","Windows Connect Now - Config Registrar","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\System32\svchost.exe","-k LocalServiceAndNoImpersonation -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WdiServiceHost","Diagnostic Service Host","NT AUTHORITY\LocalService","Manual","Running","C:\Windows\System32\svchost.exe -k LocalService -p","C:\Windows\System32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WdiSystemHost","Diagnostic System Host","LocalSystem","Manual","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","-k LocalSystemNetworkRestricted -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","NT AUTHORITY\LocalService","Manual","Running","""C:\Program Files\Windows Defender\NisSrv.exe""","C:\Program Files\Windows Defender\NisSrv.exe","","Quoted","High","True","False","True","0","","[]","0","None"
"WebClient","WebClient","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","-k LocalService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"Wecsvc","Windows Event Collector","NT AUTHORITY\NetworkService","Manual","Stopped","C:\Windows\system32\svchost.exe -k NetworkService -p","C:\Windows\system32\svchost.exe","-k NetworkService -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
"WEPHOSTSVC","Windows Encryption Provider Host Service","NT AUTHORITY\LocalService","Manual","Stopped","C:\Windows\system32\svchost.exe -k WepHostSvcGroup","C:\Windows\system32\svchost.exe","-k WepHostSvcGroup","UnquotedExt","High","False","False","False","0","","[]","0","None"
"wercplsupport","Problem Reports Control Panel Support","localSystem","Manual","Stopped","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","-k netsvcs -p","UnquotedExt","High","False","False","False","0","","[]","0","None"
